주차장관리번호,주차장명,경도,위도,주차장구분,주차장유형,주차장지번주소,주차장도로명주소,주차구획수
19493,토속촌(평면식),126.9724496,37.5784872,민영,노외,서울특별시 종로구 통인동 69-2외1필지,서울특별시 종로구 자하문로8길 8,50
19495,황소,126.9721831,37.57680408,민영,노외,서울특별시 종로구 청진동 9,서울특별시 종로구 체부동 50,14
19507,삼원,126.9713722,37.57775894,민영,노외,서울특별시 종로구 체부동 50,서울특별시 종로구 자하문로5길 12,4
19508,토속촌(평면식),126.9712318,37.5777517,민영,노외,서울특별시 종로구 체부동 97,서울특별시 종로구 지하문로 22길,50
19513,효자공영,126.9707452,37.58307825,공영,노외,서울특별시 종로구 효자동 68-1,서울특별시 종로구 효자동 68-1,26
19516,MYCJ,126.970386,37.57528276,민영,노외,서울특별시 종로구 내자동 167-1,서울특별시 종로구 사직로 10길 13,11
19520,신교공영,126.969975,37.5840259,공영,노외,서울특별시 종로구 신교동 66,서울특별시 종로구 자하문로 89,158
19522,이화여고앞 공영주차장,126.969541,37.565744,공영,노상,서울특별시 중구 순화동 1-1,서울특별시 중구 통일로4길,13
19526,신문로,126.9688745,37.57315963,민영,노외,서울특별시 종로구 신문로2가 1-137,서울특별시 종로구 경희궁길 45,9
19528,이화여고앞 공영주차장,126.968475,37.565223,공영,노상,서울특별시 중구 순화동 1-139,서울특별시 중구 통일로4길,13
19531,미근동 공영주차장,126.9683131,37.56225743,공영,노외,서울특별시 서대문구 미근동 267-3,서울특별시 서대문구 미근동 267-3,27
19533,옥인유휴지2,126.967775,37.58170076,공영,노외,서울특별시 종로구 옥인동 47-45,서울특별시 종로구 옥인동 47-45,4
19537,옥인유휴지1,126.967023,37.58239252,공영,노외,서울특별시 종로구 옥인동 47-140,서울특별시 종로구 옥인동 47-140,4
19539,사직공영,126.9665781,37.57468709,공영,노외,서울특별시 종로구 사직동 262-84,서울특별시 종로구 사직로7길 4,20
19551,옥인공영,126.9655376,37.58232362,공영,노외,서울특별시 종로구 옥인동 47-469,서울특별시 종로구 필운대로9길 25,15
